ID_Artista,Artista_o_Banda,Genero_Musical,Pais_Origen,Fecha_Mayor_Exito,Oyentes_Mensuales_Millones,Duracion_Promedio_Minutos,Canciones_Top_10,Ganador_Grammy_Latino,Gira_Internacional_Activa
ART-001,Isabella Gomez,Bachata,Republica Dominicana,2007-12-14,9.9,3.12,18,True,False
ART-002,Pedro Rivera,Bachata,Republica Dominicana,2015-05-30,24.6,3.86,18,False,True
ART-003,Sofia Turizo,Pop Latino,Mexico,2023-02-15,19.8,3.33,7,False,False
ART-004,Bad Bunny Nodal,Bachata,Puerto Rico,2018-01-10,14.3,3.05,15,False,True
ART-005,Pedro,Bachata,Puerto Rico,2021-10-20,36.0,3.43,7,False,True
ART-006,La Angeles,Cumbia,Argentina,2009-08-25,10.1,4.13,11,False,False
ART-007,Sofia Gonzalez,Pop Latino,Mexico,2012-01-21,30.5,3.2,13,True,True
ART-008,Los Frontera,Cumbia,Argentina,2012-01-03,20.7,5.01,12,False,True
ART-009,Banda del Norte,Rock en Español,Mexico,2022-10-03,4.4,3.35,8,False,False
ART-010,Mateo Gonzalez,Trap Latino,Chile,2009-06-06,42.1,3.48,9,True,True
ART-011,Pedro Hernandez,Trap Latino,Puerto Rico,2021-04-04,44.4,3.76,2,True,True
ART-012,Rosalia Garcia,Pop Latino,Argentina,2017-03-24,20.9,4.14,9,False,True
ART-013,Mariana,Salsa,Puerto Rico,2009-06-06,21.2,4.27,6,False,True
ART-014,Proyecto Tigres,Rock en Español,Mexico,2014-02-21,15.4,4.22,3,False,True
ART-015,Camilo Perez,Pop Latino,Colombia,2023-01-22,8.0,3.58,3,False,False
ART-016,Christian Garcia,Salsa,Colombia,2010-10-02,7.4,5.18,13,True,True
ART-017,Bad Bunny Hernandez,Cumbia,Argentina,2011-01-15,22.6,4.13,7,False,True
ART-018,Christian Gomez,Bachata,Puerto Rico,2011-02-19,25.6,3.01,2,False,True
ART-019,Javier,Bachata,Republica Dominicana,2010-10-22,23.0,3.33,16,True,True
ART-020,Banda Frontera,Regional Mexicano,Mexico,2015-07-02,3.3,4.65,11,True,True
ART-021,J Balvin Yatra,Reggaeton,Puerto Rico,2018-01-11,66.0,2.82,14,True,True
ART-022,Isabella Becerra,Trap Latino,Argentina,2007-02-19,70.0,3.08,8,True,True
ART-023,Isabella,Reggaeton,Puerto Rico,2025-05-24,20.8,3.13,15,True,True
ART-024,Karol G Lopez,Reggaeton,Colombia,2015-06-28,70.2,3.52,20,True,True
ART-025,Luis Nodal,Regional Mexicano,Mexico,2007-04-14,18.7,3.15,10,False,False
ART-026,Sofia Perez,Regional Mexicano,Mexico,2015-01-21,15.3,4.69,7,False,False
ART-027,Banda de la Cumbia,Cumbia,Colombia,2010-08-01,14.6,3.79,8,False,False
ART-028,Maria Lopez,Rock en Español,Mexico,2006-03-18,12.0,5.32,2,False,False
ART-029,Bizarrap Lopez,Bachata,Republica Dominicana,2025-09-20,9.6,3.42,3,False,False
ART-030,Christian Turizo,Pop Latino,Colombia,2006-03-06,15.6,4.18,17,True,False
ART-031,Diego Turizo,Bachata,Republica Dominicana,2010-09-22,24.4,3.33,20,True,True
ART-032,Grupo Tigres,Cumbia,Argentina,2006-12-28,3.2,4.06,8,False,False
ART-033,Rauw Gonzalez,Salsa,Cuba,2007-09-09,17.9,4.4,3,False,True
ART-034,Camilo,Salsa,Puerto Rico,2012-11-30,14.3,4.07,1,False,False
ART-035,Isabella Capo,Reggaeton,Panama,2019-12-03,16.7,3.51,28,True,True
ART-036,La Autenticos,Cumbia,Mexico,2023-07-20,1.6,4.84,10,False,True
ART-037,Karol G Becerra,Cumbia,Argentina,2024-04-25,1.9,4.18,6,False,True
ART-038,La Frontera,Rock en Español,Chile,2012-04-01,1.6,3.48,10,False,True
ART-039,Karol G Capo,Pop Latino,Argentina,2008-08-02,39.3,3.64,1,True,True
ART-040,Camila Rivera,Pop Latino,Colombia,2015-10-15,8.8,3.52,11,True,False
ART-041,Emilia Martinez,Trap Latino,Argentina,2014-03-03,10.1,3.7,14,True,True
ART-042,Los Firme,Rock en Español,Chile,2015-01-10,13.2,4.67,10,False,False
ART-043,Karol G Capo,Salsa,Colombia,2015-02-09,19.0,3.44,9,False,False
ART-044,Rosalia Yatra,Reggaeton,Panama,2015-11-29,47.7,3.35,31,True,True
ART-045,Cartel Chicos,Cumbia,Peru,2008-02-05,16.8,3.71,10,False,True
ART-046,Carlos Rivera,Cumbia,Argentina,2016-03-19,6.9,4.19,2,False,False
ART-047,La Chicos,Cumbia,Peru,2023-06-17,16.7,3.01,3,False,False
ART-048,Isabella Mendez,Salsa,Venezuela,2020-12-21,21.4,4.14,14,True,True
ART-049,Cartel Salvajes,Rock en Español,Uruguay,2026-02-14,11.2,5.27,14,False,True
ART-050,Cartel Firme,Regional Mexicano,Mexico,2012-02-28,19.4,4.3,7,False,False
